#EXPID	Flag	comments
#Flags: 1=possibly saturated; 2=clouds; 3=other source
346662	1
346663	1
346664	1
346665	1
347736	1
347737	1
347738	1
347739	1
347740	1
347741	1
347744	1
347747	1
347748	1
347750	1
347751	1
347752	1
347753	1
347754	1
347755	1
347756	1
347757	1
347758	1
347759	1
347760	1
347761	1
347762	1
347763	1
347764	1
347765	1
347766	1
347767	1
347768	1
347769	1
347770	1
347771	1
347772	1
347773	1
347774	1
347775	1
347776	1
347777	1
347778	1
347779	1
347780	1
347781	1
347782	1
347783	1
347784	1
347785	1
347786	1
347787	1
347788	1
347789	1
347790	1
562897	3	transparency < 0.3, depth factor < 0.2
563460	3	telescope moved during image
563658	3	transparency < 0.3, depth factor < 0.2
563665	3	depth factor < 0.2
563666	3	transparency < 0.3, depth factor < 0.2
563667	3	transparency < 0.3, depth factor < 0.2
563812	3	depth factor < 0.2
563830	3	depth factor < 0.2
563831	3	depth factor < 0.2
563832	3	depth factor < 0.2
563833	3	depth factor < 0.2
563834	3	depth factor < 0.2
563835	3	depth factor < 0.2
563836	3	depth factor < 0.2
563837	3	depth factor < 0.2
582832	2	depth factor < 0.2
582833	2	depth factor < 0.2
582834	2	depth factor < 0.2
582840  2	depth factor < 0.2
582841  2	depth factor < 0.2
582842  2	depth factor < 0.2
582843  2	depth factor < 0.2
582844  2	depth factor < 0.2
582845  2	depth factor < 0.2
582846  2	depth factor < 0.2
582847  2	depth factor < 0.2
582848  2	depth factor < 0.2
582849  2	depth factor < 0.2
582850  2	depth factor < 0.2
582851  2	depth factor < 0.2
582852  2	depth factor < 0.2
582853  2	depth factor < 0.2
582854  2	depth factor < 0.2
582855  2	depth factor < 0.2
582856  2	depth factor < 0.2
582857  2	depth factor < 0.2
582858  2	depth factor < 0.2
582863  3	Earthquake
582864  3	Earthquake
582871  2 	depth factor < 0.2	
582872  2 	depth factor < 0.2	
582873  2 	depth factor < 0.2	
582874  2 	depth factor < 0.2	
582875  2 	depth factor < 0.2	
582876  2 	depth factor < 0.2	
582877  2 	depth factor < 0.2	
583110  2 	depth factor < 0.2	
583111  2 	depth factor < 0.2	
583114  2 	depth factor < 0.2	
583115  2 	depth factor < 0.2	
583194  1 	between 10.7 and 12 twilight end of night	
583195  1 	between 10.7 and 12 twilight end of night	
583196  1 	between 10.7 and 12 twilight end of night	
592619  2       lots of clouds, depth factor <<0.3
592620  2	lots of clouds, depth factor <<0.3
592621  2	lots of clouds, depth factor <<0.3
592622  2	lots of clouds, depth factor <<0.3
592623  2	lots of clouds, depth factor <<0.3
592624  2	lots of clouds, depth factor <<0.3
592625  2	lots of clouds, depth factor <<0.3
592626  2	lots of clouds, depth factor <<0.3
592627  2	lots of clouds, depth factor <0.3
592791  3	insufficient exposure time, depth factor <0.3
592792  3	insufficient exposure time, depth factor <0.3
592793  3	insufficient exposure time, depth factor <0.3
592874  3       insufficient exposure time
592875  3       insufficient exposure time
592876  3       insufficient exposure time
592877  3       insufficient exposure time
592883  3	telescope brakes activated, dome got in front of camera
592884  3	telescope brakes activated, dome got in front of camera
604729  3       taken as pass2 but should have been pass3, bad seeing       
604730  3       taken as pass2 but should have been pass3, bad seeing
604734  3       taken as pass2 but should have been pass3, bad seeing
604735  3       taken as pass2 but should have been pass3, bad seeing
604736  3       taken as pass2 but should have been pass3, bad seeing
604737  3       taken as pass2 but should have been pass3, bad seeing
604738  3       taken as pass2 but should have been pass3, bad seeing
604739  3       taken as pass2 but should have been pass3, bad seeing
604740  3       taken as pass2 but should have been pass3, bad seeing
604741  3       taken as pass2 but should have been pass3, bad seeing
604742  3       taken as pass2 but should have been pass3, bad seeing
604743  3       taken as pass2 but should have been pass3, bad seeing
604744  3       taken as pass2 but should have been pass3, bad seeing
604788  3       short exposure time and wrongly pass2 after decbot crash
604789  3       short exposure time and wrongly pass2 after decbot crash
604790  3       short exposure time and wrongly pass2 after decbot crash
607932	3	telescope moving for pointing correction ~4s early
625105	1	bright, weird structures.  20k counts
630869  3       4MAPS down; telescope slewing - junk
634312  3       pointing is -91, -20 off
634313  3       trailed. 
634314  3       pointing off -104, -13.
634315  3       pointing off 50, -99. 
